/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

L:green, O:None, L:forward, WP:left, forward, 1.01, right, 0.00, None, 0.00, left, 2.45, left, 2.45
L:red, O:forward, L:forward, WP:left, forward, -29.52, right, -9.57, None, 0.00, left, -29.87, None, 0.00
L:green, O:right, L:None, WP:forward, forward, 0.00, right, 0.94, None, 0.00, left, -14.93, right, 0.94
L:red, O:left, L:forward, WP:left, forward, -19.93, right, 0.00, None, 2.22, left, 0.00, None, 2.22
L:green, O:None, L:forward, WP:forward, forward, 0.00, right, 0.00, None, -3.18, left, 0.80, left, 0.80
L:green, O:left, L:right, WP:right, forward, 0.98, right, 0.00, None, 0.00, left, 0.00, forward, 0.98
L:red, O:left, L:right, WP:left, forward, -5.04, right, 1.12, None, 1.82, left, -4.91, None, 1.82
L:red, O:None, L:forward, WP:right, forward, -20.38, right, -15.20, None, 2.07, left, -19.75, None, 2.07
L:green, O:None, L:None, WP:forward, forward, 1.78, right, 0.75, None, -4.03, left, 0.80, forward, 1.78
L:red, O:right, L:left, WP:right, forward, -20.40, right, 0.00, None, 2.33, left, 0.00, None, 2.33
L:red, O:left, L:None, WP:left, forward, -4.70, right, 0.42, None, 2.36, left, -5.17, None, 2.36
L:red, O:right, L:left, WP:left, forward, 0.00, right, 1.07, None, 0.00, left, 0.00, right, 1.07
L:green, O:None, L:right, WP:forward, forward, 1.83, right, 0.00, None, 0.00, left, 0.37, forward, 1.83
L:red, O:right, L:None, WP:right, forward, 0.00, right, 1.24, None, 1.02, left, -20.06, right, 1.24
L:red, O:forward, L:left, WP:left, forward, -19.70, right, -0.07, None, 0.43, left, -4.60, None, 0.43
L:green, O:None, L:forward, WP:right, forward, 0.00, right, 1.23, None, -3.45, left, 0.46, right, 1.23
L:red, O:right, L:forward, WP:forward, forward, -30.16, right, 0.00, None, 0.00, left, 0.00, right, 0.00
L:green, O:right, L:left, WP:forward, forward, 0.00, right, 0.86, None, -2.29, left, -9.79, right, 0.86
L:red, O:forward, L:right, WP:left, forward, -4.58, right, 0.79, None, 0.00, left, 0.00, right, 0.79
L:green, O:left, L:None, WP:left, forward, 0.53, right, 0.18, None, 0.03, left, 1.73, left, 1.73
L:red, O:left, L:forward, WP:right, forward, -19.97, right, -9.65, None, 0.00, left, -29.94, None, 0.00
L:red, O:None, L:forward, WP:forward, forward, -20.21, right, -15.19, None, 2.05, left, -29.97, None, 2.05
L:red, O:left, L:None, WP:right, forward, -8.80, right, 2.15, None, 1.20, left, -16.18, right, 2.15
L:green, O:right, L:forward, WP:right, forward, 0.00, right, 0.00, None, -2.23, left, 0.00, forward, 0.00
L:red, O:forward, L:None, WP:left, forward, 0.00, right, 0.50, None, 2.05, left, -22.94, None, 2.05
L:red, O:forward, L:None, WP:forward, forward, -8.75, right, 0.07, None, 2.13, left, -8.86, None, 2.13
L:green, O:None, L:None, WP:left, forward, 0.91, right, 0.19, None, -4.15, left, 1.46, left, 1.46
L:red, O:None, L:None, WP:forward, forward, -11.17, right, 0.82, None, 2.36, left, -10.01, None, 2.36
L:red, O:None, L:forward, WP:left, forward, -30.12, right, -10.04, None, 1.69, left, -29.76, None, 1.69
L:red, O:forward, L:None, WP:right, forward, -24.37, right, 1.64, None, 0.00, left, -5.38, right, 1.64
L:red, O:right, L:None, WP:forward, forward, -8.49, right, 0.60, None, 1.57, left, -30.60, None, 1.57
L:green, O:None, L:left, WP:forward, forward, 2.17, right, 0.78, None, -4.50, left, 0.38, forward, 2.17
L:green, O:None, L:right, WP:right, forward, 0.37, right, 0.00, None, -2.37, left, -0.01, forward, 0.37
