/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

L:red, O:forward, L:forward, WP:left, forward, -34.88, right, 0.00, None, 1.14, left, -20.42, None, 1.14
L:green, O:right, L:None, WP:forward, forward, 0.53, right, 0.78, None, -2.32, left, -15.43, right, 0.78
L:red, O:left, L:forward, WP:left, forward, -20.01, right, -10.45, None, 1.65, left, -19.82, None, 1.65
L:green, O:None, L:forward, WP:forward, forward, 1.80, right, -0.26, None, -4.16, left, 0.97, forward, 1.80
L:green, O:left, L:right, WP:right, forward, 0.83, right, 0.00, None, -0.22, left, 0.00, forward, 0.83
L:red, O:left, L:right, WP:left, forward, 0.00, right, 0.10, None, 0.00, left, -22.91, right, 0.10
L:red, O:None, L:forward, WP:right, forward, -20.25, right, -19.58, None, 1.58, left, -34.38, None, 1.58
L:green, O:None, L:None, WP:forward, forward, 1.98, right, 0.12, None, -5.57, left, 0.81, forward, 1.98
L:red, O:left, L:None, WP:forward, forward, -13.40, right, 0.73, None, 1.48, left, -12.52, None, 1.48
L:red, O:left, L:None, WP:left, forward, -15.25, right, 0.31, None, 1.53, left, -9.49, None, 1.53
L:red, O:right, L:left, WP:left, forward, 0.00, right, -0.01, None, 0.00, left, -19.74, forward, 0.00
L:green, O:None, L:right, WP:forward, forward, 1.72, right, 0.00, None, -2.21, left, 1.30, forward, 1.72
L:red, O:right, L:None, WP:right, forward, -9.80, right, 2.67, None, 0.47, left, -20.35, right, 2.67
L:red, O:forward, L:left, WP:left, forward, 0.00, right, 0.21, None, 0.70, left, -6.93, None, 0.70
L:green, O:None, L:forward, WP:right, forward, 0.83, right, 1.33, None, -5.05, left, 0.72, right, 1.33
L:red, O:right, L:forward, WP:forward, forward, -19.77, right, -9.88, None, 1.86, left, -19.66, None, 1.86
L:green, O:right, L:left, WP:forward, forward, 1.09, right, 0.00, None, -4.25, left, 0.00, forward, 1.09
L:red, O:forward, L:right, WP:left, forward, -4.69, right, 0.61, None, 0.94, left, 0.00, None, 0.94
L:green, O:left, L:None, WP:left, forward, 0.23, right, 0.93, None, 0.61, left, 1.79, left, 1.79
L:green, O:forward, L:left, WP:right, forward, 0.94, right, 1.36, None, -2.43, left, -17.04, right, 1.36
L:red, O:None, L:forward, WP:forward, forward, -30.31, right, 0.00, None, 2.54, left, -39.98, None, 2.54
L:red, O:left, L:None, WP:right, forward, -10.52, right, 0.70, None, 2.45, left, -10.00, None, 2.45
L:green, O:right, L:forward, WP:right, forward, 0.00, right, 0.62, None, 0.00, left, 0.00, right, 0.62
L:red, O:forward, L:None, WP:left, forward, -8.24, right, 0.86, None, 1.37, left, -9.74, None, 1.37
L:red, O:forward, L:None, WP:forward, forward, -9.55, right, 1.37, None, 2.28, left, -9.53, None, 2.28
L:green, O:None, L:None, WP:left, forward, 0.88, right, 1.13, None, -5.36, left, 1.90, left, 1.90
L:red, O:None, L:None, WP:forward, forward, -10.42, right, 1.07, None, 1.96, left, -13.66, None, 1.96
L:red, O:None, L:forward, WP:left, forward, -35.19, right, -20.04, None, 1.68, left, -37.13, None, 1.68
L:red, O:forward, L:None, WP:right, forward, -9.98, right, 1.20, None, 1.20, left, -8.53, None, 1.20
L:green, O:None, L:left, WP:forward, forward, 2.15, right, 0.31, None, -4.74, left, 0.22, forward, 2.15
L:green, O:forward, L:right, WP:right, forward, 0.97, right, 0.00, None, 0.00, left, -9.88, forward, 0.97
L:red, O:right, L:right, WP:left, forward, 0.00, right, 0.00, None, 1.76, left, 0.00, None, 1.76
L:red, O:right, L:None, WP:forward, forward, -6.96, right, 0.51, None, 2.34, left, -30.29, None, 2.34
L:green, O:None, L:right, WP:right, forward, 0.09, right, 0.94, None, 0.00, left, 0.39, right, 0.94
