trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,11,-55.22762712141782,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,10,-24.981577793854612,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,0,-17.478032655571152,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,11,10.259068082714185,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,21,19.884528244924997,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,15,-98.05167553714064,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 3}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-13.910685258335578,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,22,11.615252771592086,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,19,12.060725645737294,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,0,-77.89142867593814,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,12,-3.280833700316364,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-76.11333173038025,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,0,-27.349171918336097,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,10,25.072284826108838,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,0,7.4600870154632455,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,7,8.734428318367424,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,15,10.633057168892297,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,11,12.972984790533827,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,14,-32.18252195075941,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,18,13.237187359896017,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,1,20.04553454541049,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,13,17.15451660922085,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,13,-9.084688217682071,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,0,-11.680282202081187,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,10,13.831712004183267,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",30,0,-19.95375587758162,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,10,16.963271669087245,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,3,27.2228501356215,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,10,30.681591247970328,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",25,9,-10.305166066543457,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",25,14,21.534720276335456,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",20,5,28.0724929112236,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",30,17,14.303823387255825,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",20,10,19.128390202221457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",30,21,17.28137132961047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",20,15,9.875171390383038,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
