/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

L:green, O:forward, L:left, WP:forward, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:green, O:forward, L:right, WP:right, forward, 0.00, right, 0.95, None, 0.00, left, -10.05, right, 0.95
L:green, O:right, L:None, WP:forward, forward, 1.66, right, 0.17, None, -2.48, left, 0.00, forward, 1.66
L:red, O:left, L:forward, WP:left, forward, -20.20, right, -9.59, None, 0.00, left, -19.55, None, 0.00
L:green, O:forward, L:None, WP:left, forward, 0.00, right, 1.38, None, 0.00, left, 0.00, right, 1.38
L:green, O:None, L:forward, WP:forward, forward, 0.00, right, 0.42, None, 0.00, left, 0.23, right, 0.42
L:green, O:forward, L:right, WP:forward, forward, 0.00, right, 0.00, None, 0.00, left, -9.63, forward, 0.00
L:green, O:left, L:left, WP:left, forward, 0.55, right, 0.00, None, 0.00, left, 1.13, left, 1.13
L:green, O:forward, L:None, WP:forward, forward, 1.70, right, 0.02, None, 0.00, left, -18.04, forward, 1.70
L:red, O:right, L:None, WP:forward, forward, 0.00, right, 0.45, None, 0.00, left, 0.00, right, 0.45
L:red, O:left, L:right, WP:right, forward, 0.00, right, 0.00, None, 0.00, left, -5.23, forward, 0.00
L:green, O:left, L:right, WP:right, forward, 0.00, right, 0.93, None, 0.42, left, 0.00, right, 0.93
L:green, O:None, L:right, WP:right, forward, 0.00, right, 0.00, None, 0.00, left, 0.36, left, 0.36
L:green, O:left, L:None, WP:right, forward, 0.13, right, 1.67, None, 0.00, left, 0.00, right, 1.67
L:red, O:None, L:None, WP:left, forward, -20.43, right, 0.27, None, 2.06, left, -7.81, None, 2.06
L:red, O:left, L:right, WP:forward, forward, 0.00, right, 0.00, None, 1.62, left, -5.05, None, 1.62
L:red, O:right, L:right, WP:left, forward, 0.00, right, 0.10, None, 0.00, left, 0.00, right, 0.10
L:green, O:forward, L:forward, WP:forward, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:red, O:None, L:forward, WP:right, forward, 0.00, right, -15.16, None, 1.27, left, -19.59, None, 1.27
L:green, O:forward, L:forward, WP:left, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:green, O:None, L:left, WP:left, forward, 0.00, right, 0.00, None, 0.00, left, 1.41, left, 1.41
L:green, O:None, L:right, WP:left, forward, 0.00, right, 0.19, None, 0.00, left, 0.00, right, 0.19
L:green, O:None, L:None, WP:forward, forward, 1.67, right, 0.88, None, -3.52, left, 0.53, forward, 1.67
L:red, O:left, L:None, WP:forward, forward, 0.00, right, 1.51, None, 0.00, left, -5.26, right, 1.51
L:red, O:forward, L:left, WP:left, forward, 0.00, right, -0.07, None, 0.00, left, 0.00, forward, 0.00
